,$log(s_C)$,$log(δ_C)$,$log(p_0)$,est_$log(s_C)$,est_$log(δ_C)$,est_$log(p_0)$,ratio_$log(s_C)$,ratio_$log(δ_C)$,ratio_$log(p_0)$
373,-1.2968580722808836,-4.147087574005127,-3.513343334197998,-1.2988877296447754,-4.1423234939575195,-3.798246383666992,0.0015638340056459599,-0.0011494376459499417,0.07797138124926016
374,-1.0088913440704343,-3.7015576362609854,-5.684593200683594,-1.0077282190322876,-3.7063519954681396,-5.83262825012207,-0.0011535395058188426,0.0012943894066983622,0.025708145513960255
375,-1.6038557291030884,-5.930116653442383,-6.8463239669799805,-1.1734893321990967,-6.0456366539001465,-1.5398778915405273,-0.3124289152665042,0.019292913051045406,-1.4920087389969303
376,-1.3896609544754028,-4.088123321533203,-5.14920949935913,-1.3797714710235596,-4.1085333824157715,-3.565166473388672,-0.00714191499802194,0.004980104401825077,-0.36763245824524843
377,-0.8365859985351561,-4.38313865661621,-3.179943561553955,-0.8435670137405396,-4.35501766204834,-3.143418788909912,0.008310023346720131,-0.0064363901544579995,-0.011552454796270716
378,-1.0069825649261475,-3.637751340866089,-6.888614177703857,-1.0058412551879883,-3.644165277481079,-6.2740068435668945,-0.0011340385075619174,0.0017616071728988247,-0.09345472893366968
379,-1.7667794227600095,-3.9810640811920166,-3.8414716720581055,-1.7819437980651855,-3.958054542541504,-3.004622459411621,0.008546435810236466,-0.005796513231976696,-0.24570361848359487
380,-1.4950727224349976,-5.881431579589844,-3.0220260620117188,-1.5202714204788208,-5.860489845275879,-3.1426916122436523,0.01671403559283417,-0.0035670067547928772,0.03915214617714081
381,-1.111060619354248,-3.1986927986145015,-7.868824958801269,-1.1104891300201416,-3.2025487422943115,-6.005653381347656,-0.0005144961051389991,0.001204748835534583,-0.270207489071107
382,-1.0634019374847412,-5.101661682128905,-5.4214372634887695,-1.0620746612548828,-5.104591369628906,-5.485194206237793,-0.0012489212096428177,0.0005740965985478997,0.011691541825809964
383,-0.9688665866851807,-5.8351030349731445,-3.711104393005371,-1.072788953781128,-5.261341094970703,-3.13523530960083,0.10189011431749223,-0.10350596840207374,-0.16862528222483875
